[0.0, 'Tempo', 106.0]
[0.0, 'Formula de Compasso', '2/4']
[25.5, 'Note', 'Parte_1', 0.25, 64, None]
[25.5, 'Note', 'Parte_3', 0.5, 55, None]
[25.75, 'Note', 'Parte_1', 0.25, 72, None]
[26.0, 'Note', 'Parte_1', 0.25, 67, None]
[26.0, 'Rest', 'Parte_2', 2.0, 0, None]
[26.0, 'Note', 'Parte_3', 0.5, 52, None]
[26.0, 'Rest', 'Parte_4', 2.0, 0, None]
[26.0, 'Rest', 'Parte_5', 2.0, 0, None]
[26.25, 'Note', 'Parte_1', 0.25, 72, None]
[26.5, 'Note', 'Parte_1', 0.25, 71, None]
[26.5, 'Note', 'Parte_3', 0.5, 48, None]
[26.75, 'Note', 'Parte_1', 0.25, 72, None]
[27.0, 'Note', 'Parte_1', 0.25, 70, None]
[27.0, 'Note', 'Parte_3', 0.5, 50, None]
[27.25, 'Note', 'Parte_1', 0.25, 72, None]
[27.5, 'Note', 'Parte_1', 0.25, 67, None]
[27.5, 'Note', 'Parte_3', 0.5, 52, None]
[27.75, 'Note', 'Parte_1', 0.25, 72, None]
[28.0, 'Note', 'Parte_1', 0.25, 68, None]
[28.0, 'Rest', 'Parte_2', 2.0, 0, None]
[28.0, 'Note', 'Parte_3', 0.5, 53, None]
[28.0, 'Rest', 'Parte_4', 2.0, 0, None]
[28.0, 'Rest', 'Parte_5', 2.0, 0, None]
[28.25, 'Note', 'Parte_1', 0.25, 72, None]
[28.5, 'Note', 'Parte_1', 0.25, 65, None]
[28.5, 'Note', 'Parte_3', 0.5, 56, None]
[28.75, 'Note', 'Parte_1', 0.25, 72, None]
[29.0, 'Note', 'Parte_1', 0.5, 80, None]
[29.0, 'Note', 'Parte_3', 0.25, 46, None]
[29.25, 'Note', 'Parte_3', 0.25, 58, None]
[29.5, 'Note', 'Parte_1', 0.5, 77, None]
[29.5, 'Note', 'Parte_3', 0.25, 50, None]
[29.75, 'Note', 'Parte_3', 0.25, 58, None]
[30.0, 'Note', 'Parte_1', 0.5, 74, None]
[30.0, 'Rest', 'Parte_2', 2.0, 0, None]
[30.0, 'Note', 'Parte_3', 0.25, 53, None]
[30.0, 'Rest', 'Parte_4', 2.0, 0, None]
[30.0, 'Rest', 'Parte_5', 2.0, 0, None]
[30.25, 'Note', 'Parte_3', 0.25, 58, None]
[30.5, 'Note', 'Parte_1', 0.5, 70, None]
[30.5, 'Note', 'Parte_3', 0.25, 57, None]
[30.75, 'Note', 'Parte_3', 0.25, 58, None]
[31.0, 'Note', 'Parte_1', 0.5, 72, None]
[31.0, 'Note', 'Parte_3', 0.25, 56, None]
[31.25, 'Note', 'Parte_3', 0.25, 58, None]
[31.5, 'Note', 'Parte_1', 0.5, 74, None]
[31.5, 'Note', 'Parte_3', 0.25, 53, None]
[31.75, 'Note', 'Parte_3', 0.25, 58, None]
[32.0, 'Note', 'Parte_1', 0.5, 75, None]
[32.0, 'Rest', 'Parte_2', 2.0, 0, None]
[32.0, 'Note', 'Parte_3', 0.25, 55, None]
[32.0, 'Rest', 'Parte_4', 2.0, 0, None]
[32.0, 'Rest', 'Parte_5', 2.0, 0, None]
[32.25, 'Note', 'Parte_3', 0.25, 58, None]
[32.5, 'Note', 'Parte_1', 0.5, 79, None]
[32.5, 'Note', 'Parte_3', 0.25, 51, None]
