[0.0, 'Formula de Compasso', '2/4']
[28.75, 'Note', 'Parte_3', 0.25, 53, None]
[29.0, 'Note', 'Parte_1', 0.25, 72, None]
[29.0, 'Note', 'Parte_2', 0.25, 61, None]
[29.0, 'Note', 'Parte_3', 0.25, 46, None]
[29.0, 'Note', 'Parte_4', 1.0, 39, None]
[29.25, 'Note', 'Parte_1', 0.25, 70, None]
[29.25, 'Note', 'Parte_2', 0.25, 61, None]
[29.25, 'Note', 'Parte_3', 0.25, 51, None]
[29.5, 'Note', 'Parte_1', 0.25, 68, None]
[29.5, 'Note', 'Parte_2', 0.25, 61, None]
[29.5, 'Note', 'Parte_3', 0.25, 46, None]
[29.75, 'Note', 'Parte_1', 0.25, 67, None]
[29.75, 'Note', 'Parte_2', 0.25, 61, None]
[29.75, 'Note', 'Parte_3', 0.25, 51, None]
[30.0, 'Note', 'Parte_1', 1.0, 70, None]
[30.0, 'Note', 'Parte_2', 0.25, 61, None]
[30.0, 'Rest', 'Parte_3', 0.25, 0, None]
[30.0, 'Note', 'Parte_4', 1.5, 44, None]
[30.25, 'Note', 'Parte_2', 0.25, 63, None]
[30.25, 'Note', 'Parte_3', 0.25, 51, None]
[30.5, 'Note', 'Parte_2', 0.25, 61, None]
[30.5, 'Note', 'Parte_3', 0.25, 55, None]
[30.75, 'Note', 'Parte_2', 0.25, 63, None]
[30.75, 'Note', 'Parte_3', 0.25, 51, None]
[31.0, 'Note', 'Parte_1', 0.5, 68, None]
[31.0, 'Note', 'Parte_2', 0.5, 60, None]
[31.0, 'Note', 'Parte_3', 0.5, 56, None]
[31.5, 'Rest', 'Parte_1', 0.375, 0, None]
[31.5, 'Rest', 'Parte_2', 0.5, 0, None]
[31.5, 'Rest', 'Parte_3', 0.5, 0, None]
[31.5, 'Rest', 'Parte_4', 0.5, 0, None]
[31.875, 'Note', 'Parte_1', 0.125, 60, None]
[32.0, 'Note', 'Parte_1', 1.0, 72, 'start']
[32.0, 'Rest', 'Parte_2', 2.0, 0, None]
[32.0, 'Rest', 'Parte_3', 0.25, 0, None]
[32.0, 'Rest', 'Parte_4', 2.0, 0, None]
[32.25, 'Note', 'Parte_3', 0.25, 60, None]
[32.5, 'Note', 'Parte_3', 0.25, 60, None]
[32.75, 'Note', 'Parte_3', 0.25, 60, None]
[33.0, 'Note', 'Parte_1', 0.25, 72, 'stop']
[33.0, 'Note', 'Parte_3', 0.25, 60, None]
[33.25, 'Note', 'Parte_1', 0.25, 80, None]
[33.25, 'Note', 'Parte_3', 0.25, 60, None]
[33.5, 'Note', 'Parte_1', 0.25, 79, None]
[33.5, 'Note', 'Parte_3', 0.25, 60, None]
[33.75, 'Note', 'Parte_1', 0.25, 77, None]
[33.75, 'Note', 'Parte_3', 0.25, 60, None]
[34.0, 'Note', 'Parte_1', 1.0, 84, 'start']
[34.0, 'Rest', 'Parte_2', 2.0, 0, None]
[34.0, 'Chord', 'Parte_3', 0.25, [52, 55, 60], None]
[34.0, 'Rest', 'Parte_4', 2.0, 0, None]
[34.25, 'Chord', 'Parte_3', 0.25, [52, 55, 60], None]
[34.5, 'Chord', 'Parte_3', 0.25, [52, 55, 60], None]
[34.75, 'Chord', 'Parte_3', 0.25, [52, 55, 60], None]
[35.0, 'Note', 'Parte_1', 0.25, 84, 'stop']
[35.0, 'Chord', 'Parte_3', 0.25, [53, 56, 60], None]
[35.25, 'Note', 'Parte_1', 0.25, 80, None]
[35.25, 'Chord', 'Parte_3', 0.25, [53, 56, 60], None]
[35.5, 'Note', 'Parte_1', 0.25, 79, None]
[35.5, 'Chord', 'Parte_3', 0.25, [53, 56, 60], None]
[35.75, 'Note', 'Parte_1', 0.25, 77, None]
[35.75, 'Chord', 'Parte_3', 0.25, [53, 56, 60], None]
[36.0, 'Note', 'Parte_1', 1.0, 72, 'start']
[36.0, 'Rest', 'Parte_2', 2.0, 0, None]
[36.0, 'Chord', 'Parte_3', 0.25, [55, 58, 64], None]
[36.0, 'Rest', 'Parte_4', 2.0, 0, None]
[36.25, 'Chord', 'Parte_3', 0.25, [55, 58, 64], None]
[36.5, 'Chord', 'Parte_3', 0.25, [55, 58, 64], None]
[36.75, 'Chord', 'Parte_3', 0.25, [55, 58, 64], None]
[37.0, 'Note', 'Parte_1', 0.25, 72, 'stop']
[37.0, 'Chord', 'Parte_3', 0.25, [56, 60, 65], None]
[37.25, 'Note', 'Parte_1', 0.25, 80, None]
[37.25, 'Chord', 'Parte_3', 0.25, [56, 60, 65], None]
[37.5, 'Note', 'Parte_1', 0.25, 79, None]
[37.5, 'Chord', 'Parte_3', 0.25, [56, 60, 65], None]
[37.75, 'Note', 'Parte_1', 0.25, 77, None]
[37.75, 'Chord', 'Parte_3', 0.25, [56, 60, 65], None]
[38.0, 'Note', 'Parte_1', 0.5, 75, None]
[38.0, 'Rest', 'Parte_2', 2.0, 0, None]
[38.0, 'Chord', 'Parte_3', 0.25, [58, 65, 68], None]
[38.0, 'Rest', 'Parte_4', 2.0, 0, None]
[38.25, 'Chord', 'Parte_3', 0.25, [58, 65, 68], None]
[38.5, 'Note', 'Parte_1', 0.5, 74, 'start']
[38.5, 'Chord', 'Parte_3', 0.25, [58, 65, 68], None]
[38.75, 'Chord', 'Parte_3', 0.25, [58, 65, 68], None]
[39.0, 'Note', 'Parte_1', 0.5, 74, 'stop']
[39.0, 'Chord', 'Parte_3', 0.25, [59, 65, 68], None]
[39.25, 'Chord', 'Parte_3', 0.25, [59, 65, 68], None]
[39.5, 'Note', 'Parte_1', 0.0625, 75, None]
[39.5, 'Chord', 'Parte_3', 0.25, [59, 62, 68], None]
[39.5625, 'Note', 'Parte_1', 0.0625, 74, None]
[39.625, 'Note', 'Parte_1', 0.0625, 72, None]
[39.6875, 'Note', 'Parte_1', 0.0625, 74, None]
[39.75, 'Note', 'Parte_1', 0.125, 77, None]
[39.75, 'Chord', 'Parte_3', 0.25, [59, 62, 68], None]
[39.875, 'Note', 'Parte_1', 0.125, 75, None]
[40.0, 'Note', 'Parte_1', 1.0, 75, None]
[40.0, 'Rest', 'Parte_2', 2.0, 0, None]
[40.0, 'Chord', 'Parte_3', 0.25, [60, 63, 67], None]
[40.0, 'Rest', 'Parte_4', 2.0, 0, None]
[40.25, 'Chord', 'Parte_3', 0.25, [60, 63, 67], None]
[40.5, 'Chord', 'Parte_3', 0.25, [60, 63, 67], None]
[40.75, 'Chord', 'Parte_3', 0.25, [60, 63, 67], None]
[41.0, 'Note', 'Parte_1', 0.5, 65, None]
[41.0, 'Chord', 'Parte_3', 0.25, [56, 63], None]
[41.25, 'Chord', 'Parte_3', 0.25, [56, 63], None]
[41.5, 'Note', 'Parte_1', 0.0625, 67, None]
[41.5, 'Chord', 'Parte_3', 0.25, [56, 63], None]
[41.5625, 'Note', 'Parte_1', 0.0625, 65, None]
[41.625, 'Note', 'Parte_1', 0.0625, 64, None]
[41.6875, 'Note', 'Parte_1', 0.0625, 65, None]
[41.75, 'Note', 'Parte_1', 0.125, 68, None]
[41.75, 'Chord', 'Parte_3', 0.25, [56, 63], None]
[41.875, 'Note', 'Parte_1', 0.125, 72, None]
[42.0, 'Note', 'Parte_1', 0.03125, 71, None]
[42.0, 'Rest', 'Parte_2', 2.0, 0, None]
[42.0, 'Rest', 'Parte_3', 0.25, 0, None]
[42.0, 'Rest', 'Parte_4', 2.0, 0, None]
[42.03125, 'Note', 'Parte_1', 0.03125, 72, None]
[42.0625, 'Note', 'Parte_1', 0.03125, 74, None]
[42.09375, 'Note', 'Parte_1', 0.03125, 72, None]
[42.125, 'Note', 'Parte_1', 0.125, 70, None]
[42.25, 'Note', 'Parte_1', 0.25, 79, 'start']
[42.25, 'Chord', 'Parte_3', 0.25, [58, 63, 67], None]
[42.5, 'Note', 'Parte_1', 0.25, 79, 'stop']
[42.5, 'Chord', 'Parte_3', 0.25, [58, 63, 67], None]
[42.75, 'Note', 'Parte_1', 0.125, 77, None]
[42.75, 'Chord', 'Parte_3', 0.25, [58, 63, 67], None]
[42.875, 'Note', 'Parte_1', 0.125, 75, None]
[43.0, 'Note', 'Parte_1', 0.125, 74, None]
[43.0, 'Rest', 'Parte_3', 0.25, 0, None]
[43.125, 'Note', 'Parte_1', 0.125, 72, None]
[43.25, 'Note', 'Parte_1', 0.125, 70, None]
[43.25, 'Chord', 'Parte_3', 0.25, [46, 50, 56], None]
[43.375, 'Note', 'Parte_1', 0.125, 69, None]
[43.5, 'Note', 'Parte_1', 0.125, 72, None]
[43.5, 'Chord', 'Parte_3', 0.25, [46, 50, 56], None]
[43.625, 'Note', 'Parte_1', 0.125, 70, None]
[43.75, 'Note', 'Parte_1', 0.125, 68, None]
[43.75, 'Chord', 'Parte_3', 0.25, [46, 50, 56], None]
[43.875, 'Note', 'Parte_1', 0.125, 65, None]
[44.0, 'Note', 'Parte_1', 0.5, 63, None]
[44.0, 'Rest', 'Parte_2', 2.0, 0, None]
[44.0, 'Chord', 'Parte_3', 0.5, [51, 55], None]
[44.0, 'Rest', 'Parte_4', 2.0, 0, None]
[44.5, 'Rest', 'Parte_1', 0.25, 0, None]
[44.5, 'Rest', 'Parte_3', 0.5, 0, None]
[44.75, 'Note', 'Parte_1', 0.25, 58, None]
[45.0, 'Note', 'Parte_1', 0.25, 55, None]
[45.0, 'Rest', 'Parte_3', 1.0, 0, None]
[45.25, 'Note', 'Parte_1', 0.25, 58, None]
[45.5, 'Note', 'Parte_1', 0.25, 55, None]
[45.75, 'Note', 'Parte_1', 0.25, 51, None]
[46.0, 'Chord', 'Parte_1', 0.5, [53, 56], None]
[46.0, 'Note', 'Parte_2', 0.25, 51, None]
[46.0, 'Note', 'Parte_3', 2.0, 34, None]
[46.0, 'Rest', 'Parte_4', 2.0, 0, None]
[46.25, 'Note', 'Parte_2', 0.25, 50, None]
[46.5, 'Chord', 'Parte_1', 0.5, [53, 56], None]
[46.5, 'Note', 'Parte_2', 0.25, 50, None]
[46.75, 'Note', 'Parte_2', 0.25, 48, None]
[47.0, 'Chord', 'Parte_1', 0.5, [53, 56], None]
[47.0, 'Note', 'Parte_2', 0.25, 48, None]
[47.25, 'Note', 'Parte_2', 0.25, 47, None]
[47.5, 'Chord', 'Parte_1', 0.5, [50, 53, 56], None]
[47.5, 'Note', 'Parte_2', 0.25, 47, None]
[47.75, 'Note', 'Parte_2', 0.25, 46, None]
[48.0, 'Chord', 'Parte_1', 0.5, [46, 51, 55], None]
[48.0, 'Rest', 'Parte_2', 2.0, 0, None]
[48.0, 'Note', 'Parte_3', 0.5, 39, None]
[48.0, 'Rest', 'Parte_4', 2.0, 0, None]
[48.5, 'Rest', 'Parte_1', 0.5, 0, None]
[48.5, 'Rest', 'Parte_3', 0.25, 0, None]
[48.75, 'Note', 'Parte_3', 0.25, 46, None]
[49.0, 'Rest', 'Parte_1', 0.5, 0, None]
[49.0, 'Note', 'Parte_3', 0.25, 43, None]
[49.25, 'Note', 'Parte_3', 0.25, 46, None]
[49.5, 'Note', 'Parte_1', 0.375, 58, None]
[49.5, 'Note', 'Parte_3', 0.25, 43, None]
[49.75, 'Note', 'Parte_3', 0.25, 39, None]
[49.875, 'Note', 'Parte_1', 0.125, 63, None]
[50.0, 'Note', 'Parte_1', 0.25, 63, None]
[50.0, 'Chord', 'Parte_2', 1.0, [53, 56], None]
[50.0, 'Note', 'Parte_3', 1.0, 34, None]
[50.0, 'Rest', 'Parte_4', 2.0, 0, None]
[50.25, 'Note', 'Parte_1', 0.25, 62, None]
[50.5, 'Note', 'Parte_1', 0.25, 62, None]
[50.75, 'Note', 'Parte_1', 0.25, 60, None]
[51.0, 'Note', 'Parte_1', 0.25, 60, None]
[51.0, 'Chord', 'Parte_2', 1.0, [53, 56], None]
[51.0, 'Note', 'Parte_3', 1.0, 46, None]
[51.25, 'Note', 'Parte_1', 0.25, 59, None]
[51.5, 'Note', 'Parte_1', 0.25, 59, None]
[51.75, 'Note', 'Parte_1', 0.25, 58, None]
[52.0, 'Chord', 'Parte_1', 2.0, [55, 58], 'start']
[52.0, 'Note', 'Parte_2', 0.25, 53, None]
[52.0, 'Note', 'Parte_3', 2.0, 39, 'start']
[52.0, 'Rest', 'Parte_4', 2.0, 0, None]
[52.25, 'Note', 'Parte_2', 0.25, 52, None]
[52.5, 'Note', 'Parte_2', 0.25, 52, None]
[52.75, 'Note', 'Parte_2', 0.25, 51, None]
[53.0, 'Note', 'Parte_2', 0.25, 51, None]
[53.25, 'Note', 'Parte_2', 0.25, 50, None]
[53.5, 'Note', 'Parte_2', 0.25, 50, None]
[53.75, 'Note', 'Parte_2', 0.25, 51, None]
[54.0, 'Chord', 'Parte_1', 2.0, [55, 58], 'stop']
[54.0, 'Note', 'Parte_2', 0.25, 51, None]
[54.0, 'Note', 'Parte_3', 2.0, 39, 'stop']
[54.0, 'Rest', 'Parte_4', 2.0, 0, None]
[54.25, 'Note', 'Parte_2', 0.25, 52, None]
[54.5, 'Note', 'Parte_2', 0.25, 52, None]
[54.75, 'Note', 'Parte_2', 0.25, 51, None]
[55.0, 'Note', 'Parte_2', 0.25, 51, None]
[55.25, 'Note', 'Parte_2', 0.25, 50, None]
[55.5, 'Note', 'Parte_2', 0.25, 50, None]
[55.75, 'Note', 'Parte_2', 0.25, 49, None]
