[0.0, 'Formula de Compasso', '3/4']
[70.0, 'Rest', 'Parte_1', 1.0, 0, None]
[70.0, 'Note', 'Parte_4', 1.0, 46, None]
[71.0, 'Chord', 'Parte_1', 1.0, [65, 68], None]
[71.0, 'Rest', 'Parte_4', 1.0, 0, None]
[72.0, 'Chord', 'Parte_1', 1.0, [68, 74], None]
[72.0, 'Rest', 'Parte_2', 3.0, 0, None]
[72.0, 'Rest', 'Parte_3', 3.0, 0, None]
[72.0, 'Note', 'Parte_4', 1.0, 34, None]
[72.0, 'Rest', 'Parte_5', 3.0, 0, None]
[72.0, 'Rest', 'Parte_6', 3.0, 0, None]
[73.0, 'Chord', 'Parte_1', 1.0, [74, 77], None]
[73.0, 'Note', 'Parte_4', 1.0, 46, None]
[74.0, 'Chord', 'Parte_1', 1.0, [77, 80], 'start']
[74.0, 'Note', 'Parte_4', 1.0, 34, None]
[75.0, 'Chord', 'Parte_1', 1.0, [77, 80], 'stop']
[75.0, 'Rest', 'Parte_2', 3.0, 0, None]
[75.0, 'Rest', 'Parte_3', 3.0, 0, None]
[75.0, 'Note', 'Parte_4', 1.0, 35, None]
[75.0, 'Rest', 'Parte_5', 3.0, 0, None]
[75.0, 'Rest', 'Parte_6', 3.0, 0, None]
[76.0, 'Chord', 'Parte_1', 1.0, [76, 79], None]
[76.0, 'Note', 'Parte_4', 1.0, 36, None]
[77.0, 'Chord', 'Parte_1', 0.5, [60, 64], None]
[77.0, 'Rest', 'Parte_4', 1.0, 0, None]
[77.5, 'Chord', 'Parte_1', 0.5, [62, 65], None]
[78.0, 'Chord', 'Parte_1', 2.0, [64, 67], None]
[78.0, 'Rest', 'Parte_2', 3.0, 0, None]
[78.0, 'Rest', 'Parte_3', 3.0, 0, None]
[78.0, 'Note', 'Parte_4', 1.0, 36, None]
[78.0, 'Rest', 'Parte_5', 3.0, 0, None]
[78.0, 'Rest', 'Parte_6', 3.0, 0, None]
[79.0, 'Note', 'Parte_4', 1.0, 48, None]
[80.0, 'Chord', 'Parte_1', 1.0, [65, 68], None]
[80.0, 'Rest', 'Parte_4', 1.0, 0, None]
[81.0, 'Chord', 'Parte_1', 1.0, [67, 70], None]
[81.0, 'Rest', 'Parte_2', 3.0, 0, None]
[81.0, 'Rest', 'Parte_3', 3.0, 0, None]
[81.0, 'Note', 'Parte_4', 1.0, 36, None]
[81.0, 'Rest', 'Parte_5', 3.0, 0, None]
[81.0, 'Rest', 'Parte_6', 3.0, 0, None]
[82.0, 'Rest', 'Parte_1', 1.0, 0, None]
[82.0, 'Note', 'Parte_4', 1.0, 48, None]
[83.0, 'Chord', 'Parte_1', 0.5, [60, 64], None]
[83.0, 'Rest', 'Parte_4', 1.0, 0, None]
[83.5, 'Chord', 'Parte_1', 0.5, [62, 65], None]
[84.0, 'Chord', 'Parte_1', 1.0, [64, 67], None]
[84.0, 'Rest', 'Parte_2', 3.0, 0, None]
[84.0, 'Rest', 'Parte_3', 3.0, 0, None]
[84.0, 'Note', 'Parte_4', 1.0, 36, None]
[84.0, 'Rest', 'Parte_5', 3.0, 0, None]
[84.0, 'Rest', 'Parte_6', 3.0, 0, None]
[85.0, 'Chord', 'Parte_1', 0.5, [60, 64], None]
[85.0, 'Note', 'Parte_4', 1.0, 48, None]
[85.5, 'Chord', 'Parte_1', 0.5, [62, 65], None]
[86.0, 'Chord', 'Parte_1', 0.5, [64, 67], None]
[86.0, 'Rest', 'Parte_4', 1.0, 0, None]
[86.5, 'Chord', 'Parte_1', 0.5, [65, 68], None]
[87.0, 'Chord', 'Parte_1', 1.0, [67, 70], None]
[87.0, 'Rest', 'Parte_2', 3.0, 0, None]
[87.0, 'Rest', 'Parte_3', 3.0, 0, None]
[87.0, 'Note', 'Parte_4', 1.0, 36, None]
[87.0, 'Rest', 'Parte_5', 3.0, 0, None]
[87.0, 'Rest', 'Parte_6', 3.0, 0, None]
[88.0, 'Chord', 'Parte_1', 0.5, [64, 67], None]
[88.0, 'Note', 'Parte_4', 1.0, 48, None]
[88.5, 'Chord', 'Parte_1', 0.5, [65, 68], None]
[89.0, 'Chord', 'Parte_1', 0.5, [67, 70], None]
[89.0, 'Rest', 'Parte_4', 1.0, 0, None]
[89.5, 'Chord', 'Parte_1', 0.5, [68, 72], None]
[90.0, 'Chord', 'Parte_1', 1.0, [70, 73], None]
[90.0, 'Rest', 'Parte_2', 3.0, 0, None]
[90.0, 'Rest', 'Parte_3', 3.0, 0, None]
[90.0, 'Note', 'Parte_4', 1.0, 48, None]
[90.0, 'Rest', 'Parte_5', 3.0, 0, None]
[90.0, 'Rest', 'Parte_6', 3.0, 0, None]
[91.0, 'Rest', 'Parte_1', 1.0, 0, None]
[91.0, 'Note', 'Parte_4', 1.0, 60, None]
[92.0, 'Chord', 'Parte_1', 1.0, [67, 70], None]
[92.0, 'Rest', 'Parte_4', 1.0, 0, None]
[93.0, 'Chord', 'Parte_1', 1.0, [64, 67], None]
[93.0, 'Rest', 'Parte_2', 3.0, 0, None]
[93.0, 'Rest', 'Parte_3', 3.0, 0, None]
[93.0, 'Note', 'Parte_4', 1.0, 48, None]
[93.0, 'Rest', 'Parte_5', 3.0, 0, None]
[93.0, 'Rest', 'Parte_6', 3.0, 0, None]
[94.0, 'Rest', 'Parte_1', 1.0, 0, None]
[94.0, 'Note', 'Parte_4', 1.0, 60, None]
[95.0, 'Chord', 'Parte_1', 1.0, [67, 70], None]
[95.0, 'Rest', 'Parte_4', 1.0, 0, None]
[96.0, 'Chord', 'Parte_1', 1.0, [70, 73], None]
[96.0, 'Rest', 'Parte_2', 3.0, 0, None]
[96.0, 'Rest', 'Parte_3', 3.0, 0, None]
[96.0, 'Note', 'Parte_4', 1.0, 48, None]
[96.0, 'Rest', 'Parte_5', 3.0, 0, None]
[96.0, 'Rest', 'Parte_6', 3.0, 0, None]
[97.0, 'Rest', 'Parte_1', 1.0, 0, None]
[97.0, 'Note', 'Parte_4', 1.0, 60, None]
[98.0, 'Chord', 'Parte_1', 1.0, [67, 70], None]
[98.0, 'Rest', 'Parte_4', 1.0, 0, None]
[99.0, 'Chord', 'Parte_1', 1.0, [64, 67], None]
[99.0, 'Rest', 'Parte_2', 3.0, 0, None]
[99.0, 'Rest', 'Parte_3', 3.0, 0, None]
[99.0, 'Note', 'Parte_4', 1.0, 48, None]
[99.0, 'Rest', 'Parte_5', 3.0, 0, None]
[99.0, 'Rest', 'Parte_6', 3.0, 0, None]
[100.0, 'Rest', 'Parte_1', 1.0, 0, None]
[100.0, 'Note', 'Parte_4', 1.0, 60, None]
[101.0, 'Chord', 'Parte_1', 1.0, [67, 70], None]
[101.0, 'Rest', 'Parte_4', 1.0, 0, None]
[102.0, 'Chord', 'Parte_1', 2.0, [67, 70, 73], None]
[102.0, 'Rest', 'Parte_2', 3.0, 0, None]
[102.0, 'Rest', 'Parte_3', 3.0, 0, None]
[102.0, 'Note', 'Parte_4', 1.0, 52, None]
[102.0, 'Rest', 'Parte_5', 3.0, 0, None]
[102.0, 'Rest', 'Parte_6', 3.0, 0, None]
[103.0, 'Note', 'Parte_4', 1.0, 64, None]
[104.0, 'Chord', 'Parte_1', 1.0, [67, 70, 72], None]
[104.0, 'Rest', 'Parte_4', 1.0, 0, None]
[105.0, 'Chord', 'Parte_1', 2.0, [67, 70, 73], None]
[105.0, 'Rest', 'Parte_2', 3.0, 0, None]
[105.0, 'Rest', 'Parte_3', 3.0, 0, None]
[105.0, 'Note', 'Parte_4', 1.0, 52, None]
[105.0, 'Rest', 'Parte_5', 3.0, 0, None]
[105.0, 'Rest', 'Parte_6', 3.0, 0, None]
[106.0, 'Note', 'Parte_4', 1.0, 64, None]
[107.0, 'Chord', 'Parte_1', 1.0, [67, 70, 72], None]
[107.0, 'Rest', 'Parte_4', 1.0, 0, None]
[108.0, 'Chord', 'Parte_1', 2.0, [67, 70, 73], None]
[108.0, 'Rest', 'Parte_2', 3.0, 0, None]
[108.0, 'Rest', 'Parte_3', 3.0, 0, None]
[108.0, 'Note', 'Parte_4', 1.0, 52, None]
[108.0, 'Rest', 'Parte_5', 3.0, 0, None]
[108.0, 'Rest', 'Parte_6', 3.0, 0, None]
[109.0, 'Note', 'Parte_4', 1.0, 64, None]
[110.0, 'Chord', 'Parte_1', 1.0, [67, 70, 72], None]
[110.0, 'Rest', 'Parte_4', 1.0, 0, None]
[111.0, 'Chord', 'Parte_1', 2.0, [67, 70, 73], None]
[111.0, 'Rest', 'Parte_2', 3.0, 0, None]
[111.0, 'Rest', 'Parte_3', 3.0, 0, None]
[111.0, 'Note', 'Parte_4', 1.0, 52, None]
[111.0, 'Rest', 'Parte_5', 3.0, 0, None]
[111.0, 'Rest', 'Parte_6', 3.0, 0, None]
[112.0, 'Note', 'Parte_4', 1.0, 64, None]
[113.0, 'Chord', 'Parte_1', 1.0, [67, 70, 72], None]
[113.0, 'Rest', 'Parte_4', 1.0, 0, None]
[114.0, 'Chord', 'Parte_1', 2.0, [64, 70, 73], None]
[114.0, 'Rest', 'Parte_2', 3.0, 0, None]
[114.0, 'Rest', 'Parte_3', 3.0, 0, None]
[114.0, 'Note', 'Parte_4', 1.0, 55, None]
[114.0, 'Rest', 'Parte_5', 3.0, 0, None]
[114.0, 'Rest', 'Parte_6', 3.0, 0, None]
[115.0, 'Note', 'Parte_4', 1.0, 67, None]
[116.0, 'Chord', 'Parte_1', 1.0, [64, 70, 72], None]
[116.0, 'Rest', 'Parte_4', 1.0, 0, None]
[117.0, 'Chord', 'Parte_1', 2.0, [64, 70, 73], None]
[117.0, 'Rest', 'Parte_2', 3.0, 0, None]
[117.0, 'Rest', 'Parte_3', 3.0, 0, None]
[117.0, 'Note', 'Parte_4', 1.0, 55, None]
[117.0, 'Rest', 'Parte_5', 3.0, 0, None]
[117.0, 'Rest', 'Parte_6', 3.0, 0, None]
[118.0, 'Note', 'Parte_4', 1.0, 67, None]
[119.0, 'Chord', 'Parte_1', 1.0, [64, 70, 72], None]
[119.0, 'Rest', 'Parte_4', 1.0, 0, None]
[120.0, 'Chord', 'Parte_1', 2.0, [64, 70, 73], None]
[120.0, 'Rest', 'Parte_2', 3.0, 0, None]
[120.0, 'Rest', 'Parte_3', 3.0, 0, None]
[120.0, 'Note', 'Parte_4', 1.0, 55, None]
