r,3.0,0.0
63,1/3,959/3
56,1/3,320.0
60,1/3,961/3
63,1/3,962/3
55,1/3,321.0
60,1/3,964/3
63,1/3,965/3
54,1/3,322.0
60,1/3,967/3
63,1/3,968/3
55,1/3,323.0
60,1/3,970/3
63,1/3,971/3
56,1/3,324.0
60,1/3,973/3
63,1/3,974/3
55,1/3,325.0
60,1/3,976/3
63,1/3,977/3
54,1/3,326.0
60,1/3,979/3
63,1/3,980/3
55,1/3,327.0
60,1/3,982/3
63,1/3,983/3
56,0.5,328.0
68,0.5,328.5
53,0.5,329.0
65,0.5,329.5
55,0.5,330.0
67,0.5,330.5
52,0.5,331.0
64,0.5,331.5
53,0.5,332.0
65,0.5,332.5
47,0.5,333.0
59,0.5,333.5
48,0.5,334.0
60,0.5,334.5
38,0.5,335.0
50,0.5,335.5
39,0.5,336.0
51,0.5,336.5
41,0.5,337.0
53,0.5,337.5
42,0.5,338.0
54,0.5,338.5
43,0.5,339.0
55,0.5,339.5
43,0.5,340.0
55,0.5,340.5
43,0.5,341.0
55,0.5,341.5
43,0.5,342.0
55,0.5,342.5
48,0.5,343.0
r,0.5,343.5
56,0.5,344.0
60,0.5,344.5
53,0.5,345.0
56,0.5,345.5
55,0.5,346.0
58,0.5,346.5
52,0.5,347.0
55,0.5,347.5
53,0.5,348.0
56,0.5,348.5
47,0.5,349.0
50,0.5,349.5
48,0.5,350.0
51,0.5,350.5
38,1.0,351.0
39,1.0,352.0
41,1.0,353.0
42,1.0,354.0
31,0.5,355.0
43,0.5,355.5
31,0.5,356.0
43,0.5,356.5
31,0.5,357.0
43,0.5,357.5
31,0.5,358.0
43,0.5,358.5
36,1/3,359.0
43,1/3,1078/3
48,1/3,1079/3
36,1/3,360.0
43,1/3,1081/3
48,1/3,1082/3
36,1/3,361.0
43,1/3,1084/3
48,1/3,1085/3
36,1/3,362.0
43,1/3,1087/3
48,1/3,1088/3
38,1/3,363.0
41,1/3,1090/3
46,1/3,1091/3
38,1/3,364.0
